1;1;AVAILABLE
1;2;AVAILABLE
1;3;AVAILABLE
1;4;AVAILABLE
1;5;AVAILABLE
1;6;AVAILABLE
1;7;AVAILABLE
1;8;AVAILABLE
1;9;AVAILABLE
1;10;AVAILABLE
1;11;AVAILABLE
1;12;AVAILABLE
1;13;BORROWED
1;14;AVAILABLE
2;1;AVAILABLE
2;2;AVAILABLE
2;3;LOST
2;4;AVAILABLE
2;5;AVAILABLE
2;6;AVAILABLE
2;7;AVAILABLE
2;8;AVAILABLE
2;9;BORROWED
2;10;AVAILABLE
3;1;AVAILABLE
3;2;LOST
3;3;AVAILABLE
A6;1;AVAILABLE
A6;2;AVAILABLE
A6;3;AVAILABLE
A6;4;AVAILABLE
A6;5;AVAILABLE
A6;6;AVAILABLE
A6;7;AVAILABLE
A6;8;AVAILABLE
A6;9;AVAILABLE
A6;10;AVAILABLE
2D;1;BORROWED
2D;2;AVAILABLE
2D;3;AVAILABLE
2D;4;AVAILABLE
2D;5;AVAILABLE
2D;6;AVAILABLE
2D;7;AVAILABLE
2D;8;AVAILABLE
2D;9;AVAILABLE
2D;10;AVAILABLE
2D;11;AVAILABLE
2D;12;AVAILABLE
